,gsp_id_x,gsp_name,region_name
285,267,SKLGB1,Skelton Grange
286,268,SLOY_P,Sloy
287,269,SMAN_1,South Manchester
288,270,SPAV,Spango Valley
289,271,SPEN_1,Spennymoor
290,272,SSHI_3,South Shields
291,273,STAL_1,Stalybridge
292,274,STAY_1,Staythorpe
293,275,STEN_1,Stella North
294,276,STES_1,Stella South
295,277,STHA,Strathaven
296,278,STIR,Stirling
297,279,STLE,Strathleven
298,280,SUND_1,Sundon
299,281,SWAN_1,Swansea North
300,282,TARL_P,Tarland
301,283,TAUN1,Taunton
302,284,TAYN_P,Taynuilt
303,285,TELR,Telford Road
304,286,TEMP_3,Templeborough
305,287,THOM_6,Thorpe Marsh
306,288,THSO_P,Thurso
307,289,THUR_6,Thurcroft
308,290,TILBB_1,Tilbury
310,291,TOTT_1,Tottenham
311,292,TRAW_1,Trawsfynydd
312,293,TUMB_P,Tummel Bridge
313,294,TYNE_1|TYNE_2,Tynemouth
314,295,UPPB_1|UPPB_3,Upper Boat
315,296,WALH_1,Walham
316,297,WALP_1,Walpole (Zone 1)
317,298,WALP_B,Walpole (Zone 2)
318,299,WARL_1,Warley
319,300,WATFS_1,Watford South
320,301,WBOL_6,West Boldon
321,302,WBUR_1,West Burton
322,303,WFIE,Westfield
323,304,WGEO,West George Street
324,305,WHGA_1,Whitegate
325,306,WHHO,Whitehouse
326,307,WIBA_3,Wincobank
327,308,WIEN_1,Willenhall
328,309,WILL_1,Willington
329,310,WIMBN1|WIMBS1,Wimbledon
330,311,WIOW_P,Willowdale
331,312,WMEL_1,West Melton
332,313,WOHI_P,Woodhill
333,314,WTHU31,West Thurrock
334,315,WWEY_1,West Weybridge
335,316,WYLF_1,Wylfa
336,317,WYMOM_1,Wymondley
